ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue,hist_volatility,sharpe_ratio,max_drawdown,stddev_returns,value_at_risk,avg_volume_30d,volume_growth,turnover_ratio,bid_ask_spread
ZG,-0.0239,13.6140,2.8090,2.3660,428000000.0000,2236000000.0000,-0.0438,-0.1245,0.7643,2.1613,3.3127,-0.4800,16108726272.0000,-153.5160,7.2043,0.0000,2.2220,51874200.0000,223306242.0000,16.9000,26.8953,51.2704,-3.0129,-33.0078,3.9695,6.0386,7327550.0000,-44.9861,3.2814,2.1256
ECL,0.2477,103.9150,1.3190,0.8720,,15684500480.0000,0.2325,0.1472,0.4375,2.2222,10.7793,7.3500,71719436288.0000,21.5510,4.5726,0.3320,1.0560,283632992.0000,285416560.0000,17.8000,,47.1984,0.4830,-32.9270,2.1180,3.5832,14676900.0000,-53.3471,5.1423,2.8079
OTTR,0.1838,61.2780,2.6220,1.8870,420287008.0000,1320833024.0000,0.3674,0.2528,0.4375,,1.8451,7.1700,3172101632.0000,8.5630,2.4016,0.2608,,41870400.0000,40855219.0000,-2.8000,,38.7639,1.2587,-27.1630,1.8602,3.4738,612973.3333,-82.6415,1.5004,2.0768
GPRE,-0.0871,74.2460,1.4750,0.6950,-29965000.0000,2458796032.0000,0.0050,-0.0701,0.0530,2.4444,0.2782,-1.2900,243247456.0000,58.4510,0.0989,0.0000,1.1890,65389100.0000,62784973.0000,-18.0000,,69.6421,-1.2699,-52.8799,2.6823,7.0915,208456.6667,-61.3631,0.3320,7.0909
OCUL,-0.5719,28.6630,10.2220,9.8850,-145460992.0000,59647000.0000,0.0000,-5.9747,-1.6040,1.5000,4.3204,-1.2200,1149255808.0000,-4.7460,19.2676,0.0000,1.5040,159287008.0000,124245829.0000,-27.6000,239.9543,25.9692,0.1056,-17.3878,1.2169,3.1328,577280.0000,-46.4414,0.4646,1.5666
AMTB,-0.0175,,,,99615000.0000,280716000.0000,0.0000,0.2165,0.0000,2.4000,0.8038,-0.4800,745181312.0000,,2.6546,0.5902,1.3060,41952600.0000,38008075.0000,8.7000,,53.0604,-0.6621,-75.2981,3.5228,5.3714,495126.6667,-12.7945,1.3027,6.2814
CWEN,-0.0231,151.6790,1.5190,0.7310,784000000.0000,1406000000.0000,0.7468,0.0101,0.6465,1.4000,1.7436,0.8000,5688043520.0000,14.0540,4.0456,2.1031,0.9260,83257200.0000,116807806.0000,13.3000,,49.4480,-1.8485,-27.4966,1.9276,5.1166,337463.3333,-63.3025,0.2889,1.6150
UIS,,,1.6730,1.4730,144600000.0000,1952700032.0000,0.0813,-0.0382,0.2909,3.0000,-1.2459,-1.0300,333638720.0000,3.1160,0.1711,0.0000,1.2700,71067104.0000,65906204.0000,-11.4000,1.2960,64.5166,-1.8678,-64.4057,4.5231,5.9223,524163.3333,-48.8319,0.7953,3.7564
UBER,0.5600,50.8810,1.0670,0.9400,7136999936.0000,43977998336.0000,0.0804,0.0644,0.3319,1.5472,8.4091,4.5600,179848364032.0000,51.9910,4.0895,0.0000,1.4330,2091260032.0000,2077874448.0000,20.4000,6.5641,56.7002,-0.0076,-21.3643,2.1335,4.7264,7012903.3333,-83.3178,0.3375,1.8809
SFBS,0.1529,,,,,477064000.0000,0.0000,0.6548,0.0000,3.0000,2.4234,4.4000,4043263488.0000,,8.4753,0.2886,0.8440,54601800.0000,50444458.0000,18.4000,,48.7235,0.5544,-34.9192,2.6204,5.2214,431330.0000,-68.6925,0.8551,2.5479
