ticker,roe,debt_to_equity,current_ratio,quick_ratio,oper_cash_flow,total_revenue,ebitda_margin,operating_margin,gross_margin,analyst_rating,pb_ratio,eps,market_cap,ev_to_ebitda,price_to_sales,payout_ratio,beta,shares_outstanding,float_shares,revenue_growth,rnd_to_revenue
IGT,0.07676,280.082,2.197,0.401,1103000064.0,2512000000.0,0.3754,0.28221,0.46576,2.14286,2.032466,0.57,3376981504.0,9.121,1.3443397,1.4035001,1.607,202032992.0,113382907.0,-4.0,1.687116564417178
ATEC,,,2.755,1.559,-11252000.0,642265024.0,-0.05614,-0.18741,0.6896,1.58333,-20.256413,-1.14,1732150016.0,-61.097,2.6969397,0.0,1.066,146172992.0,111591165.0,22.2,9.801394963943729
LYV,0.68505996,393.218,0.961,0.782,2057555968.0,22738212864.0,0.08655,0.03328,0.25536,1.6087,288.60214,2.95,31103801344.0,17.625,1.3679088,0.0,1.473,231772000.0,156142340.0,-11.0,
PFBC,0.17212999,,,,,265954000.0,0.0,0.6689,0.0,2.4,1.3867247,9.64,1088996608.0,,4.0946803,0.2178,0.691,13243300.0,11557287.0,-1.7999999999999998,
VOYA,0.123050004,71.75,8.602,1.192,1344999936.0,8049999872.0,0.1487,0.09851,0.52273,2.41667,1.4433211,6.17,5823651840.0,8.66,0.72343504,0.2755,0.946,96211000.0,95147039.0,10.5,
VTOL,0.11067,107.385,1.901,1.409,177420000.0,1415490944.0,0.15201001,0.12481,0.26378,,0.95479643,3.21,855777408.0,7.229,0.6045799,0.0,1.357,28775300.0,24914135.0,4.0,
UHAL,0.060939997,91.026,1.261,0.945,1468609024.0,5691147776.0,0.2917,0.1107,0.2842,,1.5760171,2.11,10768828416.0,10.999,1.8922068,0.0,1.272,19607800.0,107593815.0,3.6999999999999997,
DDOG,0.07753,67.868,2.637,2.57,870603008.0,2684274944.0,0.03859,0.01273,0.80811,1.63043,13.488782,0.52,36957646848.0,327.138,13.768205,0.0,1.116,319478016.0,310300836.0,25.1,42.87683655335917
ORIC,-0.48454,,12.002,11.564,-115009000.0,,0.0,0.0,0.0,1.16667,1.594953,-1.83,350449536.0,-1.385,,0.0,,71085104.0,46271231.0,,
CASS,0.08908,,1.143,1.006,,220944000.0,0.22424999,0.25264,0.43416,2.0,2.371025,1.5,558183296.0,6.749,2.5263565,0.8133,0.449,13464800.0,11887242.0,-6.4,
APPF,0.49116,8.807,4.641,4.066,183670000.0,824473984.0,0.17304,0.15517999,0.63987,2.125,16.432257,5.36,7690484736.0,52.935,9.327747,0.0,0.984,23047300.0,21909020.0,16.2,20.099953146962363
VFC,-0.075440004,342.302,1.556,0.841,545126016.0,10147207168.0,0.082200006,0.104499996,0.52644,2.79167,2.8402503,-0.37,4772269056.0,11.125,0.47030368,5.3666997,1.708,389572992.0,387695622.0,1.9,
SPTN,0.00039,149.083,1.57,0.678,205876992.0,9549324288.0,0.02457,0.01222,0.15839,,0.870937,0.01,649339328.0,7.412,0.06799846,87.0,0.438,33846200.0,33192852.0,0.7000000000000001,
TROX,-0.085930005,181.887,2.282,0.504,297000000.0,3038000128.0,0.16063,0.03388,0.16261,2.0,0.49271107,-0.95,824794688.0,7.848,0.27149263,0.1558,1.387,158462000.0,118125871.0,-4.7,
HEES,0.15744,265.765,1.924,1.666,510049984.0,1464680960.0,0.16558,0.0376,0.43280998,3.0,5.409812,2.49,3303477248.0,20.087,2.2554245,0.4418,1.853,36666600.0,31157581.0,-14.000000000000002,
ALLY,0.02159,,,,,6657999872.0,0.0,0.01321,0.0,2.3,0.8403622,0.56,10007012352.0,,1.5034671,2.1381,1.128,307152000.0,276651806.0,-5.5,
DUK,0.09077,166.689,0.669,0.258,12327999488.0,29934000128.0,0.47956002,0.28667998,0.50762004,2.2,1.947808,5.7,95868977152.0,12.608,3.2026784,0.7263,0.376,777022016.0,774411151.0,2.7,
AHR,-0.018919999,81.228,1.336,1.04,176087008.0,2063800064.0,0.16644,0.06819,0.17205,1.66667,2.2594347,-0.29,5149523456.0,20.215,2.4951658,0.0,,158691008.0,156117270.0,12.1,
TPL,0.41731,0.11,10.811,10.664,490672000.0,705822976.0,0.80684996,0.7952,0.93464994,,26.594284,19.69,30134108160.0,52.693,42.693577,0.259,1.206,22984800.0,19320102.0,11.5,
TRS,0.04637,71.497,2.819,1.313,76660000.0,939580032.0,0.12964,0.06782,0.21742001,2.5,1.4557637,0.77,997999232.0,11.984,1.0621759,0.2078,0.577,40651700.0,32515253.0,6.4,
CRI,0.19308001,132.49,2.563,1.282,275694016.0,2812436992.0,0.11128,0.04144,0.47682998,3.66667,1.390873,4.51,1185067904.0,6.502,0.42136693,0.70949996,1.053,36441200.0,35128974.0,-4.8,
SRCE,0.12222,,,,223686000.0,388840000.0,0.0,0.48762,0.0,2.66667,1.2811403,5.69,1488020480.0,,3.8268194,0.2496,0.669,24562900.0,17538901.0,16.400000000000002,
AIV,-0.21240999,384.789,1.059,0.3,46984000.0,208679008.0,0.40664002,0.00153,0.564,3.0,8.86918,-0.75,1135744000.0,28.204,5.4425406,0.0,1.44,141968000.0,122667151.0,9.8,
