iShares Russell 3000 ETF
Fund Holdings as of,"May 05, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"45,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GILD","GILEAD SCIENCES INC","Health Care","Equity","34,680,280.44","0.24","34,680,280.44","337,324.00","102.81","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","34,352,535.00","0.23","34,352,535.00","174,025.00","197.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","34,320,307.14","0.23","34,320,307.14","152,406.00","225.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","33,936,431.17","0.23","33,936,431.17","219,497.00","154.61","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","33,670,561.08","0.23","33,670,561.08","110,773.00","303.96","United States","NASDAQ","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","32,887,945.95","0.22","32,887,945.95","174,815.00","188.13","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","32,357,118.82","0.22","32,357,118.82","67,223.00","481.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","31,844,452.74","0.22","31,844,452.74","106,653.00","298.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","31,546,763.30","0.21","31,546,763.30","127,051.00","248.30","United States","NASDAQ","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","31,379,514.43","0.21","31,379,514.43","109,021.00","287.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","31,302,555.96","0.21","31,302,555.96","31,302,556.00","1.00","United States","-","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","30,640,020.52","0.21","30,640,020.52","349,732.00","87.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
